"sum","season","state_id","election_id","candidate_name"
"656","Winter     ","Kerala",3066,"C RAJAMANICKAM"
"921","Winter     ","Kerala",3092,"S MINI"
"654","Autumn     ","Kerala",3032,"SUBHA"
"921","Winter     ","Kerala",2936,"V  MURALEEDHARAN"
"921","Winter     ","Kerala",3118,"MURALIDHARAN"
"919","Autumn     ","Kerala",3065,"SIDHEEK IRUPPASSERY"
"729","Whole Year ","Goa",1478,"PALLAVI SHRINIVAS DEMPO"
"921","Winter     ","Kerala",2931,"HARI ARUMBIL"
"656","Winter     ","Kerala",3128,"P RADHAKRISHNAN"
"921","Winter     ","Kerala",2965,"ADV. DEAN KURIAKOSE"
"921","Winter     ","Kerala",3073,"K.C.THOMAS"
"920","Summer     ","Kerala",3040,"DR. ABDUL SALAM"
"656","Winter     ","Kerala",2964,"NOTA"
"729","Whole Year ","Goa",1477,"CAPTAIN  VIRIATO FERNANDES"
"920","Summer     ","Kerala",2954,"HIBI EDEN"
"654","Autumn     ","Kerala",2949,"DR M PRADEEPAN"
"655","Summer     ","Kerala",2962,"BRAHMAKUMAR"
"919","Autumn     ","Kerala",3053,"K BIMALJI"
"655","Summer     ","Kerala",3019,"ROBY MATTAPPALLY"
"921","Winter     ","Kerala",3067,"NOTA"
"919","Autumn     ","Kerala",2989,"SUKUMARI M"
"921","Winter     ","Kerala",2943,"PROF C RAVEENDRANATH"
"852","Kharif     ","Goa",1474,"THOMAS AUGUSTINE FERNANDES"
"920","Summer     ","Kerala",3030,"T. RAGHAVAN S/O VELLANKUTTY"
"919","Autumn     ","Kerala",2965,"ADV. DEAN KURIAKOSE"
"919","Autumn     ","Kerala",2949,"DR M PRADEEPAN"
"921","Winter     ","Kerala",3008,"NOTA"
"654","Autumn     ","Kerala",3056,"NOTA"
"921","Winter     ","Kerala",2988,"M.L ASHWINI"
"919","Autumn     ","Kerala",2945,"ADV CHARLY PAUL"
"655","Summer     ","Kerala",2946,"ROSILIN CHACKO"
"655","Summer     ","Kerala",2976,"RAMACHANDRAN BAVILEERI"
"919","Autumn     ","Kerala",3104,"DIVAKARAN PALLATH"
"920","Summer     ","Kerala",2982,"VADI HAREENDRAN"
"654","Autumn     ","Kerala",3040,"DR. ABDUL SALAM"
"654","Autumn     ","Kerala",2932,"KRISHNANKUTTY KUNISSERY"
"920","Summer     ","Kerala",2953,"NOTA"
"920","Summer     ","Kerala",3058,"A VIJAYARAGHAVAN"
"921","Winter     ","Kerala",2942,"BENNY BEHANAN"
"654","Autumn     ","Kerala",3125,"SINOJ A.C"
"654","Autumn     ","Kerala",3073,"K.C.THOMAS"
"919","Autumn     ","Kerala",3009,"ADV K FRANCIS GEORGE"
"920","Summer     ","Kerala",3011,"THUSHAR VELLAPPALLY"
"656","Winter     ","Kerala",3074,"ADV.HARIKUMAR M.K."
"921","Winter     ","Kerala",3022,"MAN HOUSE MANMADHAN"
